query_text_idx,hits_image,hits_score
0,"[""camera.jpeg"", ""girl.jpeg"", ""cat.jpeg""]","[2.8844189643859863, 1.8731772899627686, 1.6918632984161377]"
1,"[""cat.jpeg"", ""motorcycle_right.jpeg"", ""coffee.jpeg""]","[2.8544301986694336, 2.0597305297851562, 1.585749864578247]"
2,"[""coffee.jpeg"", ""girl.jpeg"", ""teacher.jpeg""]","[2.413430690765381, 1.6472535133361816, 1.562394380569458]"
3,"[""girl.jpeg"", ""teacher.jpeg"", ""motorcycle_right.jpeg""]","[2.4679512977600098, 1.812882900238037, 1.622842788696289]"
4,"[""house_wife.jpeg"", ""girl.jpeg"", ""teacher.jpeg""]","[2.518968343734741, 2.272580146789551, 1.9180928468704224]"
5,"[""motorcycle_right.jpeg"", ""cat.jpeg"", ""camera.jpeg""]","[2.000981092453003, 1.5314183235168457, 1.4146511554718018]"
6,"[""teacher.jpeg"", ""girl.jpeg"", ""camera.jpeg""]","[2.9555530548095703, 2.471792221069336, 2.25075101852417]"
7,"[""page.png"", ""camera.jpeg"", ""coffee.jpeg""]","[3.4785304069519043, 2.485042095184326, 2.2402443885803223]"
